brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure,series_id
比亚迪,海狮05EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/a1e7a25db465482d97f57c3153fad07b~tplv-resize:640:0.png?psm=motor.rank.data,5486,11.78-13.78万,比亚迪,紧凑型SUV,纯电动,未知,6年或15万公里,25139
埃安,AION RT,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/e4498fa3f2bc49edb665eb140215e62c~tplv-resize:640:0.png?psm=motor.rank.data,5448,9.88-12.88万,广汽埃安新能源,紧凑型车,纯电动,未知,4年或15万公里,24800
深蓝汽车,深蓝S07,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/cf7c0306cbcc4bf59fb91444b20bf80a~tplv-resize:640:0.png?psm=motor.rank.data,5336,14.39-16.09万,深蓝汽车,中型SUV,增程式,未知,3年或12万公里,6027
比亚迪,秦PLUS EV,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/bea43ec45387461aa6579a7566a40a51~tplv-resize:640:0.png?psm=motor.rank.data,5332,8.78-16.38万,比亚迪,紧凑型车,纯电动,未知,6年或15万公里,4899
宝马,宝马X5,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png?psm=motor.rank.data,5276,52.8-69.3万,华晨宝马,中大型SUV,48V轻混系统,未知,3年或10万公里,5273
北京越野,北京越野BJ30,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/77f1adf604f94599a88fd75e4de1e456~tplv-resize:640:0.png?psm=motor.rank.data,5261,8.99-11.69万,北京汽车,紧凑型SUV,汽油,未知,5年或15万公里,4567
红旗,红旗HS5,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png?psm=motor.rank.data,5242,13.68-17.38万,一汽红旗,中型SUV,汽油,未知,4年或10万公里,3159
日产,天籁,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c2bf4927aec74d8992f0676817dedb63~tplv-resize:640:0.png?psm=motor.rank.data,5217,12.23-18.23万,东风日产,中型车,汽油,未知,3年或10万公里,1147
捷途,捷途旅行者,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/092556c4041e4aa5b62e6990c98f0ffa~tplv-resize:640:0.png?psm=motor.rank.data,5187,11.99-20.99万,奇瑞汽车,紧凑型SUV,汽油,未知,4年或10万公里,5563
广汽传祺,传祺M8,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/5a913414a6d54a39993a111924b34394~tplv-resize:640:0.png?psm=motor.rank.data,5134,18.98-31.28万,广汽传祺,中大型MPV,汽油,未知,3年或10万公里,1794
方程豹,钛3,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b346019c287c4d91993940c214b5e212~tplv-resize:640:0.png?psm=motor.rank.data,5123,13.38-17.78万,方程豹,紧凑型SUV,纯电动,未知,6年或15万公里,9249
丰田,皇冠陆放,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/0bcfc8eba77b4c61895a20e86c196bd7~tplv-resize:640:0.png?psm=motor.rank.data,5027,23.28-28.08万,一汽丰田,中型SUV,油电混合,未知,3年或10万公里,4840
深蓝汽车,深蓝L06,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/942afa8141b747b6a28181ea92a83fbc~tplv-resize:640:0.png?psm=motor.rank.data,4970,12.69-14.89万,深蓝汽车,中型车,纯电动,未知,5年或12万公里,25628
长安启源,长安启源A06,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/c105cba3fb9141b48adcdc62554539bd~tplv-resize:640:0.png?psm=motor.rank.data,4937,10.99-14.99万,长安启源,中大型车,纯电动,未知,6年或15万公里,25486
岚图,岚图梦想家 PHEV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/61732b2c7a5548e7bee29f8cd4f2a617~tplv-resize:640:0.png?psm=motor.rank.data,4823,30.99-70.99万,岚图汽车,中大型MPV,插电式混合动力,未知,5年或10万公里,5924
比亚迪,海豹05DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/6df1594168fd4c91a5a246a6371ab175~tplv-resize:640:0.png?psm=motor.rank.data,4778,7.48-9.58万,比亚迪,紧凑型车,插电式混合动力,未知,6年或15万公里,25137
